,audio_time,sampling_rate,feature_extraction,label,description
88,"[-4.5776367e-05 -1.8310547e-04 -9.1552734e-05 ... -3.0517578e-05
 -3.0517578e-05 -9.1552734e-05]",22050,"[[-13.72659035 -11.64144699   2.3130017  ...  -0.29846763   0.08820284
   -0.66863156]
 [-13.85217948 -12.05375307   1.86328062 ...  -0.92213208   0.32806475
   -0.56543157]
 [-13.98952926 -10.7392034    2.65493597 ...  -0.26982557   0.41847403
    0.08346801]
 ...
 [-13.8634256   -9.22227692   2.55732214 ...   0.12627306  -0.70478674
   -0.28557214]
 [-14.0147373   -9.76318462   3.00071644 ...  -0.05604573  -0.23389148
    0.18536016]
 [-14.15223413 -10.63007711   2.40230365 ...  -1.29951157  -0.62522691
   -0.39445235]]",4,กระเพรา
89,"[-0.00015259 -0.00024414 -0.00012207 ... -0.00016785 -0.00013733
 -0.0002594 ]",22050,"[[-14.2427512  -11.46101486   1.90177166 ...   0.19810909  -0.31797686
   -0.60901437]
 [-14.1418556  -10.96100695   2.39350025 ...   0.08705838  -0.77286885
   -1.01523613]
 [-14.02871566 -10.92102662   4.11498918 ...   0.79637117  -0.78380351
   -0.07886293]
 ...
 [-14.0141136  -12.83959985   0.11504686 ...  -0.27858674  -0.19862453
   -0.23582972]
 [-13.8791499  -10.9733622   -0.51425427 ...   1.06087776   0.58550583
    0.05246967]
 [-13.94339357 -10.8312219   -0.06888182 ...   0.40882442  -0.60892692
   -0.18428539]]",4,กระเพรา
90,"[-1.5258789e-05  6.1035156e-05 -9.1552734e-05 ... -1.5258789e-04
 -9.1552734e-05 -1.6784668e-04]",22050,"[[-13.91446677 -10.43623987  -0.71153944 ...  -0.94638423  -0.2311097
    0.57744954]
 [-13.72862996 -10.83763572   1.36487294 ...  -1.74538112  -0.15680188
    0.67822156]
 [-13.94172243 -10.92530356   2.55937188 ...  -0.73224914  -0.53336212
   -0.710525  ]
 ...
 [-13.99254855 -10.99867288   1.67455674 ...   1.5582753    0.72586031
   -0.57647351]
 [-14.21800735 -11.45827937   0.45889851 ...  -0.0793479   -1.66985979
   -1.55935606]
 [-13.91495351 -10.29693985   1.84066399 ...   0.74769967   0.37869596
    0.52670316]]",4,กระเพรา
91,"[-1.6784668e-04 -3.2043457e-04 -1.5258789e-04 ... -1.0681152e-04
 -4.5776367e-05 -1.2207031e-04]",22050,"[[-14.07830445 -10.18148929   3.37854758 ...   0.72649843   0.23997336
   -0.06430887]
 [-14.10675079 -10.3971392    1.36425455 ...  -0.52161259  -0.11915403
   -0.4547963 ]
 [-14.2273155  -10.22258586   1.47609543 ...  -0.40300702   0.39372382
    0.0514398 ]
 ...
 [-14.24522876 -11.87835084   1.99095248 ...  -0.35019563  -0.05735911
   -0.55832544]
 [-13.82366547 -12.69526989   1.34388471 ...   0.37952943  -0.2554628
   -0.87892662]
 [-13.83880543 -11.91843048   0.68101753 ...   0.33674037  -0.53049368
   -0.44060145]]",4,กระเพรา
92,"[-1.8310547e-04 -2.5939941e-04 -1.9836426e-04 ...  6.1035156e-05
 -4.5776367e-05  1.5258789e-05]",22050,"[[-14.17480462  -9.97272769   1.37824887 ...  -0.09955659   0.69836868
    0.25863501]
 [-14.1289165  -10.68535427  -0.0955644  ...   0.80605057  -0.14170853
    0.09223146]
 [-14.05502077 -11.31558132  -0.43399331 ...   1.25449504   0.37689717
    0.40803649]
 ...
 [-13.80731465 -10.32521085   0.31162295 ...   0.3101666   -0.08698948
   -1.35746945]
 [-13.95375236 -11.47703784   0.43764996 ...  -0.10030546  -0.0634489
   -0.83594945]
 [-14.13476531 -10.19689174   2.452704   ...  -0.65417236  -0.77419946
   -0.86934031]]",4,กระเพรา
93,"[ 0.0000000e+00 -1.5258789e-05  3.0517578e-05 ... -1.9836426e-04
 -2.7465820e-04 -2.2888184e-04]",22050,"[[-1.36697492e+01 -1.41837991e+01 -3.79861048e+00 ...  1.84165644e+00
   1.45408566e-01 -2.43802062e-01]
 [-1.37243376e+01 -1.17003617e+01 -3.78933870e+00 ...  2.07573113e+00
   6.87415116e-01  2.82377686e-01]
 [-1.39216800e+01 -1.10777318e+01 -2.99041659e+00 ...  1.56808799e+00
   5.91305835e-01 -5.52179800e-01]
 ...
 [-1.38390821e+01 -1.03916673e+01  1.08194240e+00 ...  1.40111864e+00
   1.98162920e+00  1.31844465e-01]
 [-1.38629239e+01 -1.11812073e+01  1.35501809e+00 ...  4.51019141e-01
   6.74459278e-02  1.99738954e-03]
 [-1.39827441e+01 -1.18328996e+01  2.96141328e+00 ...  7.15898956e-01
   8.90479991e-01  3.37995875e-01]]",4,กระเพรา
94,"[ 1.5258789e-05 -4.5776367e-05  7.6293945e-05 ... -1.5258789e-05
 -1.2207031e-04 -1.6784668e-04]",22050,"[[-14.00569589 -11.6261052    2.68919651 ...  -0.63879531   0.57754468
    0.15980735]
 [-14.00675772 -11.72703285   2.17499353 ...  -0.90145058  -0.71536848
    0.17906714]
 [-14.26896411 -10.39168986   4.13184178 ...   0.75150039  -0.42504863
   -0.2586352 ]
 ...
 [-13.8795953  -11.60821176   0.20913774 ...  -0.63609849  -0.38380454
   -0.25642523]
 [-14.07988205 -11.01921214   0.99603911 ...   1.15410633  -0.11461158
   -1.08378501]
 [-14.19193023 -11.51804651  -0.84422812 ...   1.13862066  -1.08786609
   -1.90172344]]",4,กระเพรา
95,"[-9.1552734e-05 -1.5258789e-04 -7.6293945e-05 ... -3.5095215e-04
 -1.8310547e-04 -1.8310547e-04]",22050,"[[-14.01594118 -12.90563193  -1.04789386 ...   0.81011346   0.11878646
   -0.4683388 ]
 [-13.77181702 -12.10510505  -0.8289083  ...   0.98401272  -0.94906981
   -0.76541058]
 [-13.82631571 -12.09038849   0.56184196 ...   0.24645233   0.29963554
   -0.02552443]
 ...
 [-13.95246117 -10.76959461  -0.13209271 ...  -1.36978611   0.11856045
   -0.62952882]
 [-13.98544587 -10.27160269   1.81527109 ...  -0.14452579  -0.49709473
   -0.28906849]
 [-13.98449881 -11.51208239   0.37851362 ...   0.65151755   0.55678892
    1.24929768]]",4,กระเพรา
96,"[-1.3732910e-04 -1.8310547e-04 -2.5939941e-04 ... -9.1552734e-05
  7.6293945e-05 -7.6293945e-05]",22050,"[[-14.13237422 -12.39884356   2.26512614 ...   2.15005604   0.99227995
    1.78422276]
 [-14.09302605 -11.16133548   2.38634592 ...   1.25199849   0.18522131
    0.54944157]
 [-14.03716887 -11.75555789   1.15774065 ...   1.15341304   0.89087601
    0.27056843]
 ...
 [-14.11544792 -11.87359503   2.57845383 ...   1.17750624   0.68282665
    0.38408973]
 [-14.12567797 -11.22437445   1.83782767 ...   0.88974594   1.71379026
    1.78463269]
 [-13.88750722  -9.99229191   3.06542498 ...  -0.10624331   0.29878462
    0.36917009]]",4,กระเพรา
97,"[-1.8310547e-04 -2.1362305e-04 -2.5939941e-04 ...  1.5258789e-05
  1.5258789e-05 -6.1035156e-05]",22050,"[[-14.26260675  -9.4966104    2.58485233 ...  -1.18869807  -0.61600057
   -0.43149837]
 [-14.1053807   -9.77331312   2.55895608 ...  -1.32410247   0.15726678
    0.49486914]
 [-14.20065631  -9.81600765   2.07851103 ...  -0.34212892   0.66379901
    0.14211507]
 ...
 [-13.92706907 -10.91974686   6.5497972  ...  -0.1060235    0.4302989
   -0.16620976]
 [-14.2474564  -10.97294911   3.2906661  ...  -0.04991482   0.14220736
   -0.70909874]
 [-14.17427618  -9.41439959   2.29857473 ...  -0.2181107    0.34990318
   -1.00029412]]",4,กระเพรา
98,"[-7.6293945e-05 -1.0681152e-04 -6.1035156e-05 ... -1.5258789e-05
 -9.1552734e-05  0.0000000e+00]",22050,"[[-13.97143127 -12.61842649   0.72877868 ...   0.4768438   -0.39202345
    0.25432284]
 [-14.09237398 -13.01521629   0.11988651 ...   0.88085114   0.49521346
   -0.47073719]
 [-14.06174212 -11.96232944   1.55609475 ...   0.63123694   0.2419887
   -0.16631205]
 ...
 [-14.08727059 -11.20073976   0.22879256 ...   0.92409827  -0.34812846
   -0.19383105]
 [-14.09621927 -10.40141244   0.70179162 ...  -0.05201935  -1.09094971
   -0.82680702]
 [-14.20501037 -10.99607747   0.86939798 ...   0.33389377   0.16712768
    1.13736883]]",4,กระเพรา
99,"[-1.5258789e-04 -6.1035156e-05 -3.0517578e-05 ... -9.1552734e-05
 -1.6784668e-04 -1.2207031e-04]",22050,"[[-1.39328061e+01 -1.12500813e+01 -8.16573726e-01 ...  9.80628417e-01
   6.75801108e-01  3.66964462e-01]
 [-1.38629551e+01 -1.10297829e+01 -1.33585124e+00 ...  9.03252713e-01
   1.58608447e+00  3.53353089e-01]
 [-1.39466274e+01 -1.07468449e+01 -1.12026836e+00 ... -1.55749650e-01
  -4.60174940e-01 -4.56033881e-01]
 ...
 [-1.40819407e+01 -1.21574416e+01  9.72988621e-01 ...  3.10615172e-01
   1.17133393e+00  5.16843078e-01]
 [-1.40051615e+01 -1.15810750e+01 -4.19689837e-02 ...  5.26028956e-01
   8.82236196e-01  6.28820195e-01]
 [-1.39216067e+01 -1.25874233e+01  1.22928359e+00 ...  1.64639270e-02
  -9.53827877e-03 -2.79026877e-02]]",4,กระเพรา
100,"[-1.5258789e-05 -1.5258789e-05 -4.5776367e-05 ...  1.5258789e-05
  0.0000000e+00 -1.5258789e-05]",22050,"[[-14.16537933 -10.47206109   2.41288901 ...  -0.04939446   1.03540467
   -0.22936507]
 [-13.93995816  -8.73303089   1.92500099 ...   0.33110438   0.70691138
   -0.1895348 ]
 [-13.86912479 -10.42568664   1.42267886 ...   0.15058089  -0.60814799
   -0.69152333]
 ...
 [-13.97164642  -8.21334643   2.4188093  ...   0.53425396   0.72054597
    0.14958135]
 [-13.85650047  -9.31406602   1.27277459 ...  -0.11718025  -0.25772858
    0.03624747]
 [-14.10465434  -9.88080158   2.20788804 ...   0.15371969   0.12231989
    0.47927928]]",5,กล้วยน้ำว้า
101,"[-3.0517578e-05  1.5258789e-05  0.0000000e+00 ... -2.4414062e-04
 -4.5776367e-05 -1.2207031e-04]",22050,"[[-14.08336402 -10.55498859   1.20363402 ...   0.23356208  -0.13145647
   -0.39835173]
 [-14.0486265   -8.96334863   2.65566785 ...  -0.62414784  -1.044385
   -0.29543228]
 [-14.13864941  -9.77784167   0.93582227 ...   0.26600151  -1.55519653
   -0.86140775]
 ...
 [-14.00197207  -9.7809196    0.96032527 ...   0.22437208   0.13295082
    0.43119149]
 [-14.05293997  -8.69947808   1.1479743  ...   0.07140605   0.4072461
    0.30426275]
 [-13.97108532  -9.87531819   0.84825106 ...  -0.15528281   0.20482622
   -0.24216381]]",5,กล้วยน้ำว้า
102,"[-7.6293945e-05 -4.5776367e-05  4.5776367e-05 ... -1.3732910e-04
 -1.3732910e-04 -7.6293945e-05]",22050,"[[-13.92092468  -9.31448959   0.77397768 ...  -0.9949874   -1.02081386
   -0.43550445]
 [-13.80383323  -9.55897392   0.07914742 ...  -0.05828009   0.59582202
    0.21373084]
 [-13.99508785 -10.23025068   0.20488973 ...   0.35320155   0.08399263
   -1.60110115]
 ...
 [-13.89609062  -9.35373399   0.06727833 ...  -1.05840595   0.69938577
    1.22467956]
 [-13.85547753  -9.27712526   0.21664442 ...  -0.55584062   0.07250926
    0.50560867]
 [-13.82676425  -8.83371686   1.5374069  ...  -1.26061559  -0.54221316
    0.1428263 ]]",5,กล้วยน้ำว้า
103,"[ 0.0000000e+00 -1.5258789e-05  1.5258789e-05 ... -6.1035156e-05
  0.0000000e+00  3.0517578e-05]",22050,"[[-1.43377957e+01 -9.47086129e+00  3.00607636e-01 ... -1.76293459e-01
  -8.53980743e-02  5.68545835e-01]
 [-1.40837381e+01 -9.38533275e+00  1.31694539e+00 ... -3.71740677e-01
  -7.44077706e-01 -6.74844185e-01]
 [-1.37877904e+01 -9.54843484e+00 -9.09952334e-01 ...  3.05665729e-01
  -4.81540224e-01  1.36999231e-02]
 ...
 [-1.39504563e+01 -9.32928348e+00  1.71715497e+00 ... -2.85094262e-01
  -3.96755882e-01  4.98246882e-01]
 [-1.39600756e+01 -9.21988247e+00  1.87902278e+00 ...  3.48510867e-01
  -8.76018865e-02  4.70702618e-01]
 [-1.40892162e+01 -8.93161583e+00 -7.58722604e-01 ... -2.73593378e-01
   5.13854403e-02  1.37784123e-01]]",5,กล้วยน้ำว้า
104,"[ 0.0000000e+00 -1.5258789e-05  3.0517578e-05 ... -2.5939941e-04
 -1.8310547e-04 -2.5939941e-04]",22050,"[[-13.91386584 -10.53900931   0.62540207 ...   0.44909318   0.80752599
    0.13305197]
 [-14.09720137 -10.23431494   1.36188224 ...  -0.40226742  -0.5433235
   -0.60246227]
 [-13.99914484  -9.85323375   2.20543292 ...  -0.34869498   0.2230099
    0.34162333]
 ...
 [-13.89286648  -9.33023937   1.57883839 ...  -0.21764381  -0.21544399
   -0.30714427]
 [-14.01263627  -8.1510622    1.77636196 ...  -0.42668542   0.24184966
    0.06971404]
 [-13.84863438  -9.45823578   1.36445437 ...  -0.96115907  -0.8575688
   -0.42491879]]",5,กล้วยน้ำว้า
105,"[ 0.0000000e+00  0.0000000e+00 -1.5258789e-05 ... -1.2207031e-04
 -1.5258789e-04 -7.6293945e-05]",22050,"[[-13.81758764  -9.74954075  -0.94499956 ...  -0.21622254   0.52892444
    0.02187719]
 [-13.83409302  -9.07349719   1.38009674 ...   0.19881314   0.20583328
   -0.29203935]
 [-13.98196323  -8.81629475   2.11064188 ...  -0.93676421   0.24970146
    0.14056148]
 ...
 [-14.16309716  -8.6972171    1.42678736 ...   0.14338504   0.25125858
   -0.34038615]
 [-13.88904644  -9.28390141   0.79230409 ...   0.58331644  -0.45001023
   -0.83516051]
 [-13.8394503   -9.44318607  -0.54287953 ...   0.2272174   -0.0159043
   -0.23291314]]",5,กล้วยน้ำว้า
106,"[-3.0517578e-05 -1.2207031e-04 -4.5776367e-05 ...  1.5258789e-05
 -1.0681152e-04 -9.1552734e-05]",22050,"[[-14.00156736 -10.75014673  -0.46027939 ...   0.10253763  -1.00089486
   -0.49208804]
 [-14.05764572  -9.64757554   0.50453659 ...  -0.430287    -1.07840149
   -0.67159386]
 [-13.93516454 -10.5351384    0.33370931 ...  -0.33827026  -0.81082298
   -0.57869935]
 ...
 [-13.9595823   -8.54803409   2.68080012 ...  -0.49203555   0.3891098
   -0.50151224]
 [-14.05251769  -9.1425369    0.89751901 ...  -0.94230788  -0.33824453
   -0.70128507]
 [-14.2832689   -9.68199862   1.16053849 ...  -0.9358688   -0.73028682
   -1.11366384]]",5,กล้วยน้ำว้า
107,"[-2.4414062e-04 -2.5939941e-04 -2.2888184e-04 ... -1.5258789e-05
  1.5258789e-05 -3.0517578e-05]",22050,"[[-13.76394339 -10.65527785   1.11011377 ...  -0.56802218   0.43314597
   -0.36914366]
 [-14.13693927 -10.35133232   2.85659533 ...  -0.18929968   0.02355872
   -0.72385033]
 [-14.04345889 -10.20792957   1.06149855 ...   0.9962136   -0.30822564
    0.30046176]
 ...
 [-13.72772835 -10.40045956   0.52059448 ...  -0.40322284   0.45321892
    0.61987197]
 [-13.85009896 -10.14187596   1.58713583 ...  -0.39347839   0.39924431
   -0.11352114]
 [-13.87509408 -10.40789039   0.04001984 ...  -0.35996152  -0.11965568
   -0.6466072 ]]",5,กล้วยน้ำว้า
108,"[-2.5939941e-04 -2.2888184e-04 -2.5939941e-04 ... -1.5258789e-05
  1.5258789e-05  0.0000000e+00]",22050,"[[-14.01306639 -10.46219455   1.86114754 ...   0.23069315   0.30165283
   -0.16655251]
 [-14.0548398  -10.48610031  -0.48032831 ...   0.97713501  -0.16402991
   -1.53895644]
 [-14.15120622 -10.63449478   1.02178778 ...   0.25667072  -0.3204522
   -1.27348531]
 ...
 [-13.93491557  -8.63457968   2.44697456 ...  -0.58396045  -0.51361177
   -1.08138762]
 [-13.93430245  -9.63666706   2.57517194 ...  -0.6086614   -0.51517679
    0.08496159]
 [-13.9608478  -11.34852974   1.68173921 ...  -1.57988747  -0.36903038
   -0.04576262]]",5,กล้วยน้ำว้า
109,"[-1.9836426e-04 -1.0681152e-04  3.0517578e-05 ... -9.1552734e-05
 -1.3732910e-04 -1.3732910e-04]",22050,"[[-1.39034212e+01 -8.65525228e+00  1.10230437e+00 ...  7.21550029e-02
   5.25870074e-01  1.92123573e-02]
 [-1.39474528e+01 -8.36605418e+00  7.60833952e-01 ... -1.57829753e-01
  -2.97515873e-03 -5.61442893e-01]
 [-1.39881980e+01 -8.01830778e+00  1.64527487e+00 ... -4.98985474e-01
  -4.99027842e-01 -3.89685736e-01]
 ...
 [-1.40128619e+01 -9.40109807e+00  2.25418054e+00 ... -5.86788602e-01
   2.63508842e-01  8.48014054e-02]
 [-1.39837980e+01 -1.05281271e+01 -5.50959304e-01 ... -1.73743097e+00
  -5.70801937e-01 -3.17884551e-02]
 [-1.40217863e+01 -9.28180963e+00  5.67241948e-01 ... -7.93306679e-01
  -1.18036431e+00 -1.13588212e+00]]",5,กล้วยน้ำว้า
110,"[-0.00010681 -0.00015259 -0.00015259 ... -0.00012207 -0.00016785
 -0.00024414]",22050,"[[-1.42483279e+01 -9.39871166e+00  2.91624920e+00 ... -7.53903829e-02
  -3.73036810e-01 -1.34682575e+00]
 [-1.40899717e+01 -8.75115549e+00  1.28956346e+00 ... -5.89915602e-01
  -1.95432790e-01  4.83872847e-03]
 [-1.39833565e+01 -9.59722754e+00  4.12674718e-01 ...  2.08435511e-01
   1.26271733e+00  8.55229558e-01]
 ...
 [-1.41152347e+01 -9.55037808e+00  1.86275758e+00 ...  1.45026976e-01
   5.32070993e-01 -3.82404289e-01]
 [-1.38928629e+01 -1.10221474e+01  1.11303161e+00 ... -2.74977353e-01
  -8.35505303e-02 -1.29021908e+00]
 [-1.36894449e+01 -1.05332596e+01  1.13473289e+00 ...  2.99913727e-01
   9.41649524e-01 -9.07695889e-01]]",5,กล้วยน้ำว้า
111,"[-9.1552734e-05 -1.9836426e-04 -1.2207031e-04 ... -3.0517578e-04
 -1.6784668e-04 -3.6621094e-04]",22050,"[[-13.96993274  -9.9995474    1.88177553 ...  -1.49116983  -0.54432357
    0.82487992]
 [-14.10529766  -9.69876241   1.30105269 ...  -0.83843748  -0.50724649
   -0.08951054]
 [-14.05352764 -10.87584908   0.9971774  ...   0.21530852  -0.50417666
   -0.50760335]
 ...
 [-13.82935128  -9.99288307   0.39258205 ...  -0.79184651  -0.14384452
   -1.67204948]
 [-13.92257775  -9.59333923   0.74628836 ...  -1.19282667  -0.15032084
   -0.86029633]
 [-14.12145621 -10.16575984   2.51726145 ...  -0.47618899  -0.26224133
   -0.83648088]]",5,กล้วยน้ำว้า
112,"[ 1.5258789e-05 -4.5776367e-05  4.5776367e-05 ... -6.1035156e-05
 -3.0517578e-05 -1.3732910e-04]",22050,"[[-1.42394155e+01 -9.49513309e+00  1.61755968e+00 ... -4.36355611e-01
  -6.14352126e-01 -8.05081791e-01]
 [-1.41886603e+01 -1.02111847e+01  2.90281106e+00 ... -2.78329594e-01
   4.00518733e-01  1.50804720e-01]
 [-1.40614393e+01 -1.06455463e+01  1.97223771e+00 ...  1.13765712e+00
   1.06164218e+00 -6.06409519e-01]
 ...
 [-1.41020860e+01 -9.76212367e+00  6.56683433e-01 ... -1.66794777e+00
  -1.54636972e+00 -2.36383415e-02]
 [-1.37727537e+01 -1.04403345e+01 -9.17202566e-01 ... -2.93090847e-03
   9.47696826e-02  1.04288106e+00]
 [-1.38752364e+01 -1.03924870e+01 -1.42477969e-01 ...  1.91639042e+00
   4.27566089e-01 -9.85103288e-02]]",5,กล้วยน้ำว้า
113,"[-0.00036621 -0.00038147 -0.00036621 ... -0.0002594  -0.00022888
 -0.00024414]",22050,"[[-14.05091112 -12.12190525   4.08378807 ...   1.25297201   1.40403168
    1.43413372]
 [-14.28766974 -11.28066573   2.15468124 ...   0.56719746   0.77175774
    0.83562965]
 [-14.16009559 -10.8677882    2.17726142 ...   1.68549016   1.29298214
   -0.16734448]
 ...
 [-13.7912335   -8.67426307   1.10824119 ...  -0.74076736   0.08437539
    0.52402886]
 [-13.95387062 -10.776842     0.66599994 ...   0.13484033   0.86355095
    1.79801821]
 [-13.92303772  -9.65414921   0.40209473 ...   1.24434383   1.7569973
    1.24614341]]",5,กล้วยน้ำว้า
114,"[ 0.0000000e+00 -1.5258789e-05  1.5258789e-05 ... -3.0517578e-05
 -4.5776367e-05 -2.7465820e-04]",22050,"[[-1.43071980e+01 -9.84307431e+00  2.26244634e+00 ...  4.71489068e-01
   1.32442748e+00  4.70545509e-01]
 [-1.39012948e+01 -9.35203627e+00 -9.79146437e-01 ...  1.29304888e+00
   9.97672104e-01  4.90692914e-01]
 [-1.37251810e+01 -1.05920986e+01 -1.95269993e+00 ...  3.20260820e-01
  -1.85388972e-01  1.04739747e-02]
 ...
 [-1.40242896e+01 -1.04777550e+01  3.88507611e-01 ... -3.96707480e-01
  -7.52772314e-01  3.96489575e-01]
 [-1.39633933e+01 -9.30291955e+00  1.39387025e-01 ... -1.34299734e+00
  -9.09456538e-01 -1.23617071e+00]
 [-1.39237795e+01 -9.54119843e+00  3.39086112e-01 ...  5.94903680e-01
   1.13733186e-01 -1.33467813e+00]]",5,กล้วยน้ำว้า
115,"[-1.5258789e-05  1.5258789e-05 -4.5776367e-05 ... -4.5776367e-05
  0.0000000e+00  1.5258789e-05]",22050,"[[-13.92924326 -11.14751069  -1.11689774 ...   0.51575735   0.03136196
   -0.25711589]
 [-13.96482804 -11.03166735  -0.64640097 ...   1.18048659   0.94081164
    0.47086465]
 [-13.69265449 -10.66798838   1.1997459  ...   1.66084312   0.83834844
   -0.29630517]
 ...
 [-14.12606071  -9.87701399   0.61159684 ...  -0.14397956  -0.37776177
    0.04913981]
 [-13.90072101 -10.43609417   0.82760955 ...  -0.70165285  -0.40843746
    0.3869248 ]
 [-13.75064717 -10.33213008   0.32078343 ...  -1.04662979  -0.18844456
   -0.48613419]]",5,กล้วยน้ำว้า
116,"[-0.00019836 -0.0002594  -0.00024414 ... -0.00030518 -0.00015259
 -0.00033569]",22050,"[[-13.97372554 -10.82216329   1.4384101  ...   0.08147282  -0.82075421
   -0.51106733]
 [-13.98986106  -9.81396253   2.81733337 ...  -0.39352261   0.06042465
   -0.37069482]
 [-13.94957238 -12.73020622   1.16972803 ...   0.08213698  -0.18738697
   -0.76627129]
 ...
 [-13.84793665  -9.53408737   0.27670291 ...   0.19683796  -0.44871986
   -0.77890495]
 [-13.78257522  -9.95346822   1.18944393 ...  -0.35528596  -0.43845919
   -0.75200124]
 [-13.8302022  -10.23867334   0.25347187 ...   0.52290251  -0.04939398
    0.131899  ]]",5,กล้วยน้ำว้า
117,"[-2.5939941e-04 -2.4414062e-04 -2.7465820e-04 ... -1.5258789e-05
  0.0000000e+00  1.5258789e-05]",22050,"[[-1.38969071e+01 -9.92769901e+00  1.17948901e+00 ...  5.99078415e-01
   3.24169858e-01  4.58956103e-02]
 [-1.37029637e+01 -1.00287057e+01  1.12806131e+00 ... -5.48776501e-01
  -1.07768370e-01  4.72169756e-01]
 [-1.38047205e+01 -1.14995340e+01  1.24843771e+00 ... -1.57609946e+00
  -7.22828719e-01 -7.71650712e-01]
 ...
 [-1.42619657e+01 -8.93516984e+00  2.80767743e+00 ... -3.57412728e-01
   1.13014788e-02  1.21373924e-01]
 [-1.42915902e+01 -8.97194584e+00  1.39253791e+00 ... -1.10045506e+00
  -7.86720409e-01 -6.08960935e-01]
 [-1.40198857e+01 -1.05159679e+01 -6.10089865e-01 ...  2.92532466e-01
   9.93743619e-02 -8.32317587e-01]]",5,กล้วยน้ำว้า
118,"[ 0.0000000e+00 -1.5258789e-05 -1.5258789e-05 ... -2.4414062e-04
 -2.4414062e-04 -2.5939941e-04]",22050,"[[-14.06238476 -10.03691596   3.48349983 ...  -0.6613691    0.35157289
    1.09534267]
 [-13.99387698 -12.19789578   0.94295522 ...  -1.79083756  -0.22203998
    0.28616465]
 [-13.78454441  -9.98129416   0.07965796 ...   0.35843959   0.70154928
    0.38614684]
 ...
 [-13.81300438 -10.72708177  -1.61953027 ...   0.17155753  -0.29007915
   -0.35150619]
 [-13.77137604 -10.19160699   0.44820192 ...   0.34645964  -0.41248548
   -0.55894117]
 [-14.11810682  -9.55200289   2.80821077 ...  -0.18043297  -0.58165887
   -1.11185008]]",5,กล้วยน้ำว้า
119,"[-2.5939941e-04 -2.2888184e-04 -2.5939941e-04 ...  4.5776367e-05
 -1.5258789e-05 -6.1035156e-05]",22050,"[[-1.37767669e+01 -9.68015870e+00  1.97314412e+00 ...  5.86804546e-01
  -1.03817960e+00 -1.24069770e+00]
 [-1.38619212e+01 -9.97830687e+00  1.29937858e+00 ... -6.15366926e-01
  -1.03681292e+00 -5.22404552e-01]
 [-1.41691697e+01 -9.36369898e+00  8.00560309e-01 ... -6.92720842e-01
  -3.86049635e-01 -3.80883347e-01]
 ...
 [-1.39116776e+01 -1.05531629e+01  9.16040894e-04 ... -1.59291447e-01
  -8.42772278e-01 -1.05784801e+00]
 [-1.40695618e+01 -1.05080229e+01 -1.20247685e-01 ... -2.33162180e-01
  -1.09659793e+00 -1.12850589e+00]
 [-1.38867222e+01 -8.48162919e+00  8.52715749e-01 ...  2.83339350e-01
  -8.57117079e-01 -2.37942476e-01]]",5,กล้วยน้ำว้า
120,"[-0.00022888 -0.00018311 -0.00015259 ... -0.00016785 -0.00032043
 -0.00013733]",22050,"[[-13.63163164 -11.02500637   1.27302983 ...  -0.61104399  -0.7109794
   -0.46754959]
 [-13.81609768 -11.90881186   0.94903534 ...   0.03763859   0.58508346
    0.36525883]
 [-14.08172527 -11.74107808   1.77637463 ...   0.44451047   0.79865557
   -0.09338807]
 ...
 [-13.62219248 -10.8907427    0.33794539 ...  -0.75752207  -0.75841076
   -1.28813589]
 [-13.81238518  -8.60404903   1.61160367 ...   0.26743649  -0.16945229
   -0.23916702]
 [-13.7734244   -9.07636674   1.88255402 ...  -0.47850392   0.02555241
   -0.76292548]]",6,กล้วยหอม
121,"[-1.5258789e-05  0.0000000e+00 -9.1552734e-05 ... -4.5776367e-05
  1.5258789e-05 -1.5258789e-05]",22050,"[[-13.97419163 -11.04128253   3.56551686 ...   0.54851251   0.31970033
    0.23074605]
 [-13.85193276 -11.07130688   2.64255022 ...  -0.53508503   0.97619188
    0.04070842]
 [-13.96640527  -9.16021451   2.53642251 ...   0.12422238   1.49941212
   -0.48044315]
 ...
 [-13.81460076  -9.76432436   1.01199423 ...  -0.40981607  -0.24566408
   -0.57249511]
 [-13.94251799  -9.97595981   0.99477387 ...  -1.52191316  -0.22613072
   -0.06732589]
 [-13.7434613   -9.60266792   1.78573099 ...  -1.09492776   0.8425236
    1.11996715]]",6,กล้วยหอม
122,"[-1.3732910e-04 -1.0681152e-04 -1.3732910e-04 ...  0.0000000e+00
  3.0517578e-05 -7.6293945e-05]",22050,"[[-13.88009956 -10.3783891    0.86811662 ...  -0.41815191   0.02621817
   -0.18311777]
 [-13.94102521 -10.12683703   0.76632936 ...  -0.73236858  -1.14093543
   -0.82941845]
 [-14.00493103 -10.71832004   1.87633074 ...   0.35520658  -0.58240164
   -0.09075539]
 ...
 [-13.92827828  -9.66669373   1.25903852 ...  -0.26645022  -0.16345768
   -0.5142232 ]
 [-14.02674545  -8.9898231    2.81908717 ...   0.04715568   0.38166228
   -0.83708139]
 [-13.99718803  -9.65179867   2.67759562 ...  -0.65897724  -1.48742899
   -1.86934871]]",6,กล้วยหอม
